caldt,vwretd
20190618,0.009654
20190619,0.002994
20190620,0.009615
20190621,-0.001173
20190624,-0.001748
20190625,-0.009528
20190626,-0.001157
20190627,0.003914
20190628,0.005759
20190701,0.007703
20190702,0.003009
20190703,0.007925
20190705,-0.001645
20190708,-0.004766
20190709,0.001610
20190710,0.004575
20190711,0.002276
20190712,0.004736
20190715,0.000264
20190716,-0.003349
20190717,-0.006408
20190718,0.003601
20190719,-0.006124
20190722,0.002845
20190723,0.006862
20190724,0.004685
20190725,-0.005342
20190726,0.007469
20190729,-0.001819
20190730,-0.002500
20190731,-0.010922
20190801,-0.008869
20190802,-0.007262
20190805,-0.029815
20190806,0.013058
20190807,0.000913
20190808,0.018936
20190809,-0.006568
20190812,-0.011969
20190813,0.014964
20190814,-0.028994
20190815,0.003009
20190816,0.014498
20190819,0.012123
20190820,-0.007905
20190821,0.008248
20190822,-0.000517
20190823,-0.025935
20190826,0.011102
20190827,-0.003152
20190828,0.006525
20190829,0.012822
20190830,0.000769
20190903,-0.006681
20190904,0.010909
20190905,0.013217
20190906,0.000882
20190909,0.000104
20190910,0.000303
20190911,0.007254
20190912,0.003021
20190913,-0.000472
20190916,-0.003194
20190917,0.002621
20190918,0.000336
20190919,0.000141
20190920,-0.004882
20190923,-0.000053
20190924,-0.008351
20190925,0.006205
20190926,-0.002456
20190927,-0.005145
20190930,0.005126
20191001,-0.012230
20191002,-0.017947
20191003,0.008145
20191004,0.014223
20191007,-0.004477
20191008,-0.015368
20191009,0.009412
20191010,0.006456
20191011,0.011091
20191014,-0.001421
20191015,0.009907
20191016,-0.001846
20191017,0.002889
20191018,-0.003943
20191021,0.006919
20191022,-0.003536
20191023,0.002861
20191024,0.001989
20191025,0.003951
20191028,0.005625
20191029,-0.000959
20191030,0.003366
20191031,-0.002915
20191101,0.009649
20191104,0.003707
20191105,-0.001142
20191106,0.000823
20191107,0.003209
20191108,0.002693
20191111,-0.002018
20191112,0.001550
20191113,0.000776
20191114,0.001042
20191115,0.007663
20191118,0.000594
20191119,-0.000506
20191120,-0.003602
20191121,-0.001532
20191122,0.002199
20191125,0.007650
20191126,0.002265
20191127,0.004273
20191129,-0.003796
20191202,-0.008588
20191203,-0.006563
20191204,0.006336
20191205,0.001722
20191206,0.009108
20191209,-0.003062
20191210,-0.001121
20191211,0.002930
20191212,0.008631
20191213,0.000214
20191216,0.007038
20191217,0.000398
20191218,-0.000345
20191219,0.004534
20191220,0.004896
20191223,0.000893
20191224,-0.000132
20191226,0.005385
20191227,0.000028
20191230,-0.005631
20191231,0.002954
20200102,0.008570
20200103,-0.006950
20200106,0.003566
20200107,-0.002669
20200108,0.004827
20200109,0.006939
20200110,-0.002841
20200113,0.006957
20200114,-0.001388
20200115,0.001782
20200116,0.008459
20200117,0.003742
20200121,-0.002617
20200122,0.000322
20200123,0.001190
20200124,-0.009072
20200127,-0.015637
20200128,0.010111
20200129,-0.000904
20200130,0.003377
20200131,-0.017209
20200203,0.007296
20200204,0.014994
20200205,0.011113
20200206,0.003467
20200207,-0.005025
20200210,0.007484
20200211,0.002015
20200212,0.006558
20200213,-0.001323
20200214,0.001932
20200218,-0.002658
20200219,0.004782
20200220,-0.003852
20200221,-0.010591
20200224,-0.033359
20200225,-0.030269
20200226,-0.003772
20200227,-0.043781
20200228,-0.008242
20200302,0.045959
20200303,-0.028015
20200304,0.042150
20200305,-0.033630
20200306,-0.016819
20200309,-0.075275
20200310,0.049281
20200311,-0.048751
20200312,-0.095036
20200313,0.093205
20200316,-0.118970
20200317,0.060242
20200318,-0.050477
20200319,0.004670
20200320,-0.043187
20200323,-0.028576
20200324,0.092646
20200325,0.010971
20200326,0.062088
20200327,-0.033559
20200330,0.033550
20200331,-0.015948
20200401,-0.043645
20200402,0.022726
20200403,-0.014783
20200406,0.070022
20200407,-0.001665
20200408,0.033801
20200409,0.014454
20200413,-0.009366
20200414,0.030843
20200415,-0.021556
20200416,0.006190
20200417,0.026322
20200420,-0.017771
